1 2 3 1.0
2356 73 55 3.0
2357 73 49 4.0
2358 73 43 5.0
2359 73 37 6.0
2360 74 68 1.0
2361 74 75 1.0
2362 74 73 1.00012207031
2363 74 69 2.0
2364 74 77 2.0
2365 74 62 2.0
2366 74 67 2.0001220703099998
2367 74 70 3.0
2368 74 78 3.0
2369 74 56 3.0
2370 74 63 3.0
2371 74 61 3.0001220703099998
2372 74 76 4.0
2373 74 84 4.0
2374 74 71 4.0
2375 74 50 4.0
2376 74 57 4.0
2377 74 64 4.0
2378 74 55 4.00012207031
2379 74 65 5.0
2380 74 72 5.0
2381 74 83 5.0
2382 74 44 5.0
2383 74 89 5.0
2384 74 80 5.0
2385 74 51 5.0
2386 74 58 5.0
2387 74 49 5.00012207031
2388 74 66 6.0
2389 74 82 6.0
2390 74 88 6.0
2391 74 90 6.0
2392 74 45 6.0
2393 74 96 6.0
2394 74 38 6.0
2395 74 52 6.0
2396 74 59 6.0
2397 74 43 6.00012207031
2398 75 69 1.0
2399 75 74 1.0
2400 75 77 1.0
2401 75 70 2.0
2402 75 68 2.0
2403 75 78 2.0
2404 75 63 2.0
2405 75 73 2.0001220703099998
2406 75 71 3.0
2407 75 76 3.0
2408 75 84 3.0
2409 75 64 3.0
2410 75 57 3.0
2411 75 62 3.0
2412 75 67 3.0001220703099998
2413 75 65 4.0
2414 75 72 4.0
2415 75 80 4.0
2416 75 83 4.0
2417 75 89 4.0
2418 75 56 4.0
2419 75 51 4.0
2420 75 58 4.0
2421 75 61 4.00012207031
2422 75 82 5.0
2423 75 88 5.0
2424 75 90 5.0
2425 75 45 5.0
2426 75 66 5.0
2427 75 96 5.0
2428 75 52 5.0
2429 75 50 5.0
2430 75 59 5.0
2431 75 55 5.00012207031
2432 75 81 6.0
2433 75 87 6.0
2434 75 44 6.0
2435 75 92 6.0
2436 75 101 6.0
2437 75 46 6.0
2438 75 39 6.0
2439 75 53 6.0
2440 75 95 6.0
2441 75 60 6.0
2442 75 49 6.00012207031
2443 76 72 1.0
2444 76 78 1.0
2445 76 80 1.0
2446 76 71 2.0
2447 76 66 2.0
2448 76 77 2.0
2449 76 84 2.0
2450 76 90 2.0
2451 76 75 3.0
2452 76 65 3.0
2453 76 83 3.0
2454 76 70 3.0
2455 76 89 3.0
2456 76 92 3.0
2457 76 60 3.0
2458 76 69 4.0
2459 76 88 4.0
2460 76 82 4.0
2461 76 74 4.0
2462 76 96 4.0
2463 76 54 4.0
2464 76 102 4.0
2465 76 64 4.0
2466 76 59 4.0
2467 76 68 5.0
2468 76 108 5.0
2469 76 87 5.0
2470 76 81 5.0
2471 76 95 5.0
2472 76 101 5.0
2473 76 48 5.0
2474 76 53 5.0
2475 76 63 5.0
2476 76 58 5.0
2477 76 73 5.00012207031
2478 76 86 6.0
2479 76 42 6.0
2480 76 114 6.0
2481 76 100 6.0
2482 76 47 6.0
2483 76 107 6.0
2484 76 52 6.0
2485 76 94 6.0
2486 76 57 6.0
2487 76 62 6.0
2488 76 67 6.00012207031
2489 76 79 6.00012207031
2490 77 70 1.0
2491 77 75 1.0
2492 77 78 1.0
2493 77 71 2.0
2494 77 74 2.0
2495 77 76 2.0
2496 77 69 2.0
2497 77 84 2.0
2498 77 64 2.0
2499 77 65 3.0
2500 77 72 3.0
2501 77 80 3.0
2502 77 68 3.0
2503 77 83 3.0
2504 77 89 3.0
2505 77 63 3.0
2506 77 58 3.0
2507 77 73 3.0001220703099998
2508 77 66 4.0
2509 77 82 4.0
2510 77 88 4.0
2511 77 90 4.0
2512 77 96 4.0
2513 77 52 4.0
2514 77 59 4.0
2515 77 57 4.0
2516 77 62 4.0
2517 77 67 4.00012207031
2518 77 87 5.0
2519 77 81 5.0
2520 77 92 5.0
2521 77 46 5.0
2522 77 95 5.0
2523 77 51 5.0
2524 77 53 5.0
2525 77 101 5.0
2526 77 56 5.0
2527 77 60 5.0
2528 77 61 5.00012207031
2529 77 107 6.0
2530 77 86 6.0
2531 77 47 6.0
2532 77 94 6.0
2533 77 40 6.0
2534 77 54 6.0
2535 77 45 6.0
2536 77 50 6.0
2537 77 100 6.0
2538 77 102 6.0
2539 77 79 6.00012207031
2540 77 55 6.00012207031
2541 78 71 1.0
2542 78 76 1.0
2543 78 77 1.0
2544 78 84 1.0
2545 78 72 2.0
2546 78 75 2.0
2547 78 65 2.0
2548 78 80 2.0
2549 78 70 2.0
2550 78 83 2.0
2551 78 89 2.0
2552 78 69 3.0
2553 78 74 3.0
2554 78 66 3.0
2555 78 88 3.0
2556 78 82 3.0
2557 78 90 3.0
2558 78 96 3.0
2559 78 59 3.0
2560 78 64 3.0
2561 78 68 4.0
2562 78 87 4.0
2563 78 81 4.0
2564 78 92 4.0
2565 78 95 4.0
2566 78 101 4.0
2567 78 53 4.0
2568 78 60 4.0
2569 78 58 4.0
2570 78 63 4.0
2571 78 73 4.00012207031
2572 78 86 5.0
2573 78 94 5.0
2574 78 47 5.0
2575 78 102 5.0
2576 78 52 5.0
2577 78 54 5.0
2578 78 100 5.0
2579 78 107 5.0
2580 78 57 5.0
2581 78 62 5.0
2582 78 67 5.00012207031
2583 78 79 5.00012207031
2584 78 113 6.0
2585 78 41 6.0
2586 78 106 6.0
2587 78 93 6.0
2588 78 46 6.0
2589 78 51 6.0
2590 78 48 6.0
2591 78 56 6.0
2592 78 108 6.0
2593 78 99 6.0
2594 78 85 6.00012207031
2595 78 61 6.00012207031
2596 79 73 1.0
2597 79 67 2.0
2598 79 61 3.0
2599 79 55 4.0
2600 79 49 5.0
2601 79 43 6.0
2602 80 76 1.0
2603 80 84 1.0
2604 80 90 1.0
2605 80 72 2.0
2606 80 78 2.0
2607 80 83 2.0
2608 80 89 2.0
2609 80 92 2.0
2610 80 66 3.0
2611 80 77 3.0
2612 80 71 3.0
2613 80 88 3.0
2614 80 82 3.0
2615 80 96 3.0
2616 80 102 3.0
2617 80 70 4.0
2618 80 65 4.0
2619 80 75 4.0
2620 80 87 4.0
2621 80 81 4.0
2622 80 95 4.0
2623 80 108 4.0
2624 80 101 4.0
2625 80 60 4.0
2626 80 74 5.0
2627 80 69 5.0
2628 80 86 5.0
2629 80 107 5.0
2630 80 114 5.0
2631 80 94 5.0
2632 80 54 5.0
2633 80 100 5.0
2634 80 59 5.0
2635 80 64 5.0
2636 80 79 5.00012207031
2637 80 68 6.0
2638 80 113 6.0
2639 80 106 6.0
2640 80 117 6.0
2641 80 48 6.0
2642 80 99 6.0
2643 80 93 6.0
2644 80 53 6.0
2645 80 63 6.0
2646 80 58 6.0
2647 80 73 6.00012207031
2648 80 85 6.00012207031
2649 81 74 1.0
2650 81 79 1.00012207031
2651 81 68 2.0
2652 81 75 2.0
2653 81 73 2.0001220703099998
2654 81 69 3.0
2655 81 77 3.0
2656 81 62 3.0
2657 81 67 3.0001220703099998
2658 81 70 4.0
2659 81 78 4.0
2660 81 56 4.0
2661 81 63 4.0
2662 81 61 4.00012207031
2663 81 76 5.0
2664 81 84 5.0
2665 81 71 5.0
2666 81 50 5.0
2667 81 57 5.0
2668 81 64 5.0
2669 81 55 5.00012207031
2670 81 65 6.0
2671 81 72 6.0
2672 81 83 6.0
2673 81 44 6.0
2674 81 89 6.0
2675 81 80 6.0
2676 81 51 6.0
2677 81 58 6.0
2678 81 49 6.00012207031
2679 82 75 1.0
2680 82 81 1.0
2681 82 74 2.0
2682 82 77 2.0
2683 82 69 2.0
2684 82 79 2.0001220703099998
2685 82 68 3.0
2686 82 70 3.0
2687 82 78 3.0
2688 82 63 3.0
2689 82 73 3.0001220703099998
2690 82 71 4.0
2691 82 76 4.0
2692 82 84 4.0
2693 82 62 4.0
2694 82 64 4.0
2695 82 57 4.0
2696 82 67 4.00012207031
2697 82 65 5.0
2698 82 72 5.0
2699 82 80 5.0
2700 82 83 5.0
2701 82 89 5.0
2702 82 56 5.0
2703 82 51 5.0
2704 82 58 5.0
2705 82 61 5.00012207031
2706 82 88 6.0
2707 82 90 6.0
2708 82 45 6.0
2709 82 66 6.0
2710 82 96 6.0
2711 82 52 6.0
2712 82 50 6.0
2713 82 59 6.0
2714 82 55 6.00012207031
2715 83 77 1.0
2716 83 82 1.0
2717 83 84 1.0
2718 83 70 2.0
2719 83 75 2.0
2720 83 78 2.0
2721 83 80 2.0
2722 83 81 2.0
2723 83 89 2.0
2724 83 71 3.0
2725 83 76 3.0
2726 83 74 3.0
2727 83 69 3.0
2728 83 88 3.0
2729 83 90 3.0
2730 83 96 3.0
2731 83 64 3.0
2732 83 79 3.0001220703099998
2733 83 68 4.0
2734 83 65 4.0
2735 83 72 4.0
2736 83 87 4.0
2737 83 92 4.0
2738 83 95 4.0
2739 83 101 4.0
2740 83 63 4.0
2741 83 58 4.0
2742 83 73 4.00012207031
2743 83 66 5.0
2744 83 107 5.0
2745 83 86 5.0
2746 83 94 5.0
2747 83 102 5.0
2748 83 100 5.0
2749 83 52 5.0
2750 83 57 5.0
2751 83 59 5.0
2752 83 62 5.0
